female,married,spouse_rated,age,X_factor_bi,X_factor_pd,X_factor_comp,X_factor_coll,X_factor_loan,X_factor_med,X_factor_pip,X_factor_umbi,X_factor_umpd,X_factor_rent,X_factor_roadside,duplicate
0,0,1,81,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,0,83,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,1,83,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,0,85,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,1,85,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,0,87,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,1,87,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,0,89,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,1,89,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,0,91,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,0,1,91,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
1,1,0,1,4.51,4.37,1.14,3.17,1.14,3.22,2.02,2.15,3.17,3.49,4.76,0
1,1,1,1,3.68,3.24,1.62,3.3,1.62,2.62,2.03,1.67,3.3,3.63,4.95,0
1,1,0,15,4.51,4.37,1.14,3.17,1.14,3.22,2.02,2.15,3.17,3.49,4.76,0
1,1,1,15,3.68,3.24,1.62,3.3,1.62,2.62,2.03,1.67,3.3,3.63,4.95,0
1,1,0,16,4.51,4.37,1.14,3.17,1.14,3.22,2.02,2.15,3.17,3.49,4.76,0
1,1,1,16,3.68,3.24,1.62,3.3,1.62,2.62,2.03,1.67,3.3,3.63,4.95,0
1,1,0,17,4.51,4.37,1.14,3.17,1.14,3.22,2.02,2.15,3.17,3.49,4.76,0
1,1,1,17,3.68,3.24,1.62,3.3,1.62,2.62,2.03,1.67,3.3,3.63,4.95,0
1,1,0,18,3.75,3.68,1.14,2.84,1.14,2.86,1.81,2.01,2.84,3.12,4.26,0
1,1,1,18,3.05,2.67,1.49,2.69,1.49,2.12,1.82,1.56,2.69,2.96,4.04,0
1,1,0,19,3.11,3.09,1.14,2.54,1.14,2.54,1.63,1.88,2.54,2.79,3.81,0
1,1,1,19,2.53,2.2,1.38,2.2,1.38,1.71,1.63,1.45,2.2,2.42,3.3,0
1,1,0,20,2.62,2.62,1.14,2.22,1.14,1.95,1.45,1.68,2.22,2.44,3.33,0
1,1,1,20,1.91,1.86,1.38,1.71,1.38,1.71,1.58,1.32,1.71,1.88,2.57,0
1,1,0,21,2.31,2.28,1.14,2.04,1.14,1.85,1.31,1.55,2.04,2.24,3.06,0
1,1,1,21,1.64,1.52,1.38,1.49,1.38,1.58,1.52,1.28,1.49,1.64,2.24,0
1,1,0,22,2.08,2,1.14,1.8,1.14,1.62,1.29,1.52,1.8,1.98,2.7,0
1,1,1,22,1.48,1.47,1.38,1.44,1.38,1.51,1.51,1.26,1.44,1.58,2.16,0
1,1,0,23,1.85,1.81,1.11,1.66,1.11,1.54,1.29,1.3,1.66,1.83,2.49,0
1,1,1,23,1.18,1.21,1.28,1.24,1.28,1.28,1.28,1.2,1.24,1.36,1.86,0
1,1,0,24,1.61,1.6,1.11,1.49,1.11,1.33,1.19,1.25,1.49,1.64,2.24,0
